Crt.                 Node                 Father               Sibling             
106                  =                    103                  105                 
107                  id                   103                  106                 
108                  expressionOp         105                  0                   
109                  simpleExpression     105                  108                 
110                  simpleExpressionOp   109                  0                   
111                  id                   109                  110                 
112                  epsilon              110                  0                   
113                  epsilon              108                  0                   
114                  stmtlist             100                  0                   
115                  stmtlistOp           114                  0                   
116                  stmt                 114                  115                 
117                  structstmt           116                  0                   
118                  ifstmt               117                  0                   
119                  ifstmtOp             118                  0                   
120                  cmpdstmt             118                  119                 
121                  )                    118                  120                 
122                  condition            118                  121                 
123                  (                    118                  122                 
124                  if                   118                  123                 
125                  conditionOp          122                  0                   
126                  expression           122                  125                 
127                  expressionOp         126                  0                   
128                  simpleExpression     126                  127                 
129                  simpleExpressionOp   128                  0                   
130                  id                   128                  129                 
131                  epsilon              129                  0                   
132                  epsilon              127                  0                   
133                  expression           125                  0                   
134                  RELATION             125                  133                 
135                  >                    134                  0                   
136                  expressionOp         133                  0                   
137                  simpleExpression     133                  136                 
138                  simpleExpressionOp   137                  0                   
139                  id                   137                  138                 
140                  epsilon              138                  0                   
141                  epsilon              136                  0                   
142                  }                    120                  0                   
143                  stmtlist             120                  142                 
144                  {                    120                  143                 
145                  stmtlistOp           143                  0                   
146                  stmt                 143                  145                 
147                  simplstmt            146                  0                   
148                  assignstmt           147                  0                   
149                  ;                    148                  0                   
150                  expression           148                  149                 
151                  =                    148                  150                 
152                  id                   148                  151                 
153                  expressionOp         150                  0                   
154                  simpleExpression     150                  153                 
155                  simpleExpressionOp   154                  0                   
156                  id                   154                  155                 
157                  epsilon              155                  0                   
158                  epsilon              153                  0                   
159                  stmtlist             145                  0                   
160                  epsilon              159                  0                   
161                  epsilon              119                  0                   
162                  stmtlist             115                  0                   
163                  stmtlistOp           162                  0                   
164                  stmt                 162                  163                 
165                  structstmt           164                  0                   
166                  ifstmt               165                  0                   
167                  ifstmtOp             166                  0                   
168                  cmpdstmt             166                  167                 
169                  )                    166                  168                 
170                  condition            166                  169                 
171                  (                    166                  170                 
172                  if                   166                  171                 
173                  conditionOp          170                  0                   
174                  expression           170                  173                 
175                  expressionOp         174                  0                   
176                  simpleExpression     174                  175                 
177                  simpleExpressionOp   176                  0                   
178                  id                   176                  177                 
179                  epsilon              177                  0                   
180                  epsilon              175                  0                   
181                  expression           173                  0                   
182                  RELATION             173                  181                 
183                  >                    182                  0                   
184                  expressionOp         181                  0                   
185                  simpleExpression     181                  184                 
186                  simpleExpressionOp   185                  0                   
187                  id                   185                  186                 
188                  epsilon              186                  0                   
189                  epsilon              184                  0                   
190                  }                    168                  0                   
191                  stmtlist             168                  190                 
192                  {                    168                  191                 
193                  stmtlistOp           191                  0                   
194                  stmt                 191                  193                 
195                  simplstmt            194                  0                   
196                  assignstmt           195                  0                   
197                  ;                    196                  0                   
198                  expression           196                  197                 
199                  =                    196                  198                 
200                  id                   196                  199                 
201                  expressionOp         198                  0                   
202                  simpleExpression     198                  201                 
203                  simpleExpressionOp   202                  0                   
204                  id                   202                  203                 
205                  epsilon              203                  0                   
206                  epsilon              201                  0                   
207                  stmtlist             193                  0                   
208                  epsilon              207                  0                   
209                  epsilon              167                  0                   
210                  stmtlist             163                  0                   
211                  stmtlistOp           210                  0                   
212                  stmt                 210                  211                 
213                  simplstmt            212                  0                   
214                  iostmt               213                  0                   
215                  writeStmt            214                  0                   
216                  writeStmtOp          215                  0                   
217                  (                    215                  216                 
218                  write                215                  217                 
219                  ;                    216                  0                   
220                  )                    216                  219                 
221                  id                   216                  220                 
222                  stmtlist             211                  0                   
223                  epsilon              222                  0                   
